Sample	input	filtered	filtered_pc	denoisedF	denoisedR	denoisedF_pc	denoisedR_pc	merged	merged_pc	tabled	chimera_out	length_filtered	tabled_pc	chimera_out_pc	length_filtered_pc	day	treatment	mouse_label	BW	BW_percent	BW_delta	DAI	treatment_grouped	treatment_invivo	day_num	samples	se	Observed	Shannon
S_219	44852	44233	0.99	42985	43681	0.97	0.99	37694	0.88	37694	26929	26929	1	0.71	1	Day_-1	TreatA	m_8	20.55	0	0	0	TreatA	none	-1	S_219	NA	392	4.006562487289336
S_220	72545	72048	0.99	70726	70818	0.98	0.98	63881	0.9	63881	44125	44125	1	0.69	1	Day_-1	TreatA	m_19	21.32	0	0	0	TreatA	none	-1	S_220	NA	342	3.6147361995926444
S_221	76560	76051	0.99	74773	75012	0.98	0.99	67904	0.91	67904	49814	49814	1	0.73	1	Day_-1	TreatA	m_34	20.11	0	0	0	TreatA	none	-1	S_221	NA	338	3.5205602624621206
S_222	62479	62192	1	61528	61201	0.99	0.98	54905	0.89	54905	42532	42532	1	0.77	1	Day_-1	TreatA	m_26	21.9	0	0	0	TreatA	none	-1	S_222	NA	380	3.9064788150916807
S_223	78944	78670	1	77717	77643	0.99	0.99	68254	0.88	68254	49859	49859	1	0.73	1	Day_-1	TreatA	m_39	20.94	0	0	0	TreatA	none	-1	S_223	NA	501	4.6693355940666175
S_224	72930	72622	1	71294	71600	0.98	0.99	60502	0.85	60502	44187	44187	1	0.73	1	Day_-1	TreatA	m_46	21.12	0	0	0	TreatA	none	-1	S_224	NA	516	4.8562122459761206
S_225	194545	193572	0.99	191373	191090	0.99	0.99	173270	0.91	173270	124781	124781	1	0.72	1	Day_-1	TreatA	m_48	20.35	0	0	0	TreatA	none	-1	S_225	NA	529	4.240370080964991
S_226	62034	61405	0.99	60035	60599	0.98	0.99	53780	0.9	53780	39110	39110	1	0.73	1	Day_-1	TreatA	m_56	20.51	0	0	0	TreatA	none	-1	S_226	NA	398	4.0507527240979115
S_227	77255	76602	0.99	75092	75664	0.98	0.99	65965	0.88	65965	47209	47209	1	0.72	1	Day_-1	TreatB	m_29	20.95	0	0	0	TreatB	none	-1	S_227	NA	447	4.055810333771859
S_228	58784	58444	0.99	57469	57504	0.98	0.98	52534	0.91	52534	39238	39238	1	0.75	1	Day_-1	TreatB	m_13	20.35	0	0	0	TreatB	none	-1	S_228	NA	298	2.897002344054153
S_229	65923	65701	1	64821	65102	0.99	0.99	59729	0.92	59729	49569	49569	1	0.83	1	Day_-1	TreatB	m_18	21.55	0	0	0	TreatB	none	-1	S_229	NA	429	2.9611522154472354
